Title,Release Year,Genre,IMDB Rating,Duration,Age Rating,Production Country,Available on,Just Watch URL
Ready or Not(2019),2019,"Horror, Comedy, Mystery & Thriller, Action & Adventure",6.9,1h 35min,A,United States,"['Amazon Video', 'Apple TV', 'Netflix']",https://www.justwatch.com/in/movie/ready-or-not-2019
Maharaja(2024),2024,"Drama, Mystery & Thriller, Action & Adventure, Crime",8.5,2h 21min,No Rating,India,['Netflix'],https://www.justwatch.com/in/movie/maharaja-2024
Vaazhai(2024),2024,"Drama, Kids & Family",7.8,2h 14min,U,India,['Hotstar'],https://www.justwatch.com/in/movie/vaazhai
Despicable Me 4(2024),2024,"Animation, Kids & Family, Comedy, Action & Adventure, Crime, Science-Fiction",6.2,1h 34min,U,United States,"['Bookmyshow', 'Amazon Video', 'Apple TV', 'Jio Cinema', 'Zee5']",https://www.justwatch.com/in/movie/despicable-me-4-2024
Solo Leveling -ReAwakening-(2024),2024,"Action & Adventure, Fantasy, Animation",8.4,1h 56min,No Rating,Japan,['Bookmyshow'],https://www.justwatch.com/in/movie/ore-dake-level-up-na-ken-reawakening
Fifty Shades of Grey(2015),2015,"Romance, Mystery & Thriller, Drama",4.2,2h 5min,No Rating,United States,"['Jio Cinema', 'Zee5']",https://www.justwatch.com/in/movie/fifty-shades-of-grey
Pleasure(2021),2021,Drama,6.3,1h 45min,No Rating,"Sweden, France, Netherlands",['No streaming service found'],https://www.justwatch.com/in/movie/pleasure-2021
"The Gangster, the Cop, the Devil(2019)",2019,"Crime, Action & Adventure, Mystery & Thriller",7.0,1h 49min,No Rating,South Korea,['No streaming service found'],https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
Bhool Bhulaiyaa(2007),2007,"Horror, Mystery & Thriller, Comedy",7.5,2h 38min,No Rating,India,"['VI movies and tv', 'Netflix', 'Hotstar']",https://www.justwatch.com/in/movie/bhool-bhulaiyaa
96(2018),2018,"Romance, Drama",8.5,2h 39min,U,India,"['ManoramaMax', 'Sony Liv', 'VI movies and tv', 'aha', 'ManoramaMAX Amazon Channel', 'Amazon miniTV', 'MX Player', 'Sun Nxt']",https://www.justwatch.com/in/movie/96
Rocket Driver(2024),2024,Comedy,7.3,1h 43min,U,India,"['aha', 'Amazon Prime Video']",https://www.justwatch.com/in/movie/rocket-driver
The Boy Next Door(2015),2015,Mystery & Thriller,4.7,1h 31min,A,United States,"['Amazon Video', 'Jio Cinema']",https://www.justwatch.com/in/movie/the-boy-next-door
12th Fail(2023),2023,Drama,8.8,2h 27min,No Rating,India,"['VI movies and tv', 'Hotstar']",https://www.justwatch.com/in/movie/12th-fail
My Fault(2023),2023,"Drama, Romance",6.2,1h 57min,A,Spain,['Amazon Prime Video'],https://www.justwatch.com/in/movie/culpa-mia
Harry Potter and the Philosopher's Stone(2001),2001,"Fantasy, Kids & Family",7.7,2h 32min,U,"United Kingdom, United States","['Apple TV', 'Jio Cinema', 'Tata Play']",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
Bhagwan Bharose(2023),2023,"Kids & Family, Drama, Comedy",6.4,1h 37min,UA,India,['No streaming service found'],https://www.justwatch.com/in/movie/bhagwan-bharose
